travelCode,User_ID,Departure,Arrival,Check-in,Hotel,Stars,Bedroom Type,Room Price per Night,Number of Adults,Number of Children,Number of Bedrooms,Total Price per Night,Amenities,Days of Stay,Total Cost,Check-Out,Hotel_ID,Images
945,8,Chennai,Ranchi,03-02-2022,Hotel AVN Plaza,3,Deluxe,5265,3,0,2,10530,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms', 'Bar']",6,63180,09-02-2022,RANC8,https://tse1.mm.bing.net/th?q=Hotel+AVN+Plaza+Ranchi
948,8,Udaipur,Bilaspur,24-02-2022,Hotel Heavens Park,3,Deluxe,4818,3,3,3,14454,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",7,101178,03-03-2022,BILA5,https://tse1.mm.bing.net/th?q=Hotel+Heavens+Park+Bilaspur
950,8,Bhubaneswar,Puri,10-03-2022,Hotel Gandhara,2,Suite,4395,1,0,1,4395,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",4,17580,14-03-2022,PURI7,https://tse1.mm.bing.net/th?q=Hotel+Gandhara+Puri
957,8,Bilaspur,Bhubaneswar,28-04-2022,Hotel La Franklin,3,Executive,5915,2,1,2,11830,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar']",2,23660,30-04-2022,BHUB9,https://tse1.mm.bing.net/th?q=Hotel+La+Franklin+Bhubaneswar
958,8,Bilaspur,Puri,05-05-2022,Hotel New Shankar International,2,Suite,3768,3,3,3,11304,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",1,11304,06-05-2022,PURI8,https://tse1.mm.bing.net/th?q=Hotel+New+Shankar+International+Puri
962,8,Khowai,Ludhiana,02-06-2022,Park Plaza Ludhiana,4,Deluxe,5558,1,0,1,5558,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",6,33348,08-06-2022,LUDH3,https://tse1.mm.bing.net/th?q=Park+Plaza+Ludhiana+Ludhiana
966,8,Kota,Varanasi,30-06-2022,Hotel Clarks Varanasi,5,Executive,12720,2,0,1,12720,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler']",3,38160,03-07-2022,VARA4,https://tse1.mm.bing.net/th?q=Hotel+Clarks+Varanasi+Varanasi
967,8,Khowai,Kullu-Manali,07-07-2022,Hotel Manali Continental,3,Deluxe,4862,2,1,2,9724,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",7,68068,14-07-2022,KULL5,https://tse1.mm.bing.net/th?q=Hotel+Manali+Continental+Kullu-Manali
969,8,Delhi NCR,Prayagraj,21-07-2022,Hotel Milan Palace,3,Executive,6114,4,0,2,12228,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",4,48912,25-07-2022,PRAY4,https://tse1.mm.bing.net/th?q=Hotel+Milan+Palace+Prayagraj
970,8,Mumbai,Udaipur,28-07-2022,Super Hotel O Udaipur Jaysamand Road formerly Shree Palace,5,Suite,15288,1,1,1,15288,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Limousine Service']",7,107016,04-08-2022,UDAI1,https://tse1.mm.bing.net/th?q=Super+Hotel+O+Udaipur+Jaysamand+Road+formerly+Shree+Palace+Udaipur
972,8,Jaipur,Ayodhya,11-08-2022,Hotel Hanuman,3,Suite,6856,3,0,2,13712,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",5,68560,16-08-2022,AYOD10,https://tse1.mm.bing.net/th?q=Hotel+Hanuman+Ayodhya  
974,8,Pune,Kolkata,25-08-2022,Hotel Eastern Plaza,3,Executive,4767,4,2,3,14301,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",3,42903,28-08-2022,KOLK9,https://tse1.mm.bing.net/th?q=Hotel+Eastern+Plaza+Kolkata
977,8,Mysuru,Jamshedpur,15-09-2022,The Sonnet Jamshedpur,4,Deluxe,6443,2,1,2,12886,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",6,77316,21-09-2022,JAMS1,https://tse1.mm.bing.net/th?q=The+Sonnet+Jamshedpur+Jamshedpur
984,8,Hisar,Imphal,03-11-2022,Hotel Bheigo,2,Deluxe,2868,3,2,3,8604,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",1,8604,04-11-2022,IMPH6,https://tse1.mm.bing.net/th?q=Hotel+Bheigo+Imphal
987,8,Jaipur,Guwahati,24-11-2022,Pemaling Lords Eco Inn Guwahati,3,Suite,4884,3,0,2,9768,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",6,58608,30-11-2022,GUWA1,https://tse1.mm.bing.net/th?q=Pemaling+Lords+Eco+Inn+Guwahati
988,8,Indore,Delhi NCR,01-12-2022,Radisson Blu Plaza Delhi Airport,5,Executive,13250,4,1,3,39750,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Private Butler', 'Limousine Service']",2,79500,03-12-2022,DELH1,https://tse1.mm.bing.net/th?q=Radisson+Blu+Plaza+Delhi+Airport
997,9,Imphal,Chennai,26-09-2019,Radisson Blu Hotel Chennai City Centre,4,Executive,8962,2,0,1,8962,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",2,17924,28-09-2019,CHEN10,https://tse1.mm.bing.net/th?q=Radisson+Blu+Hotel+Chennai+City+Centre
998,9,Dehradun,Mumbai,03-10-2019,Hotel Marine Plaza,4,Suite,8272,1,2,1,8272,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center', 'Rooftop Lounge']",6,49632,09-10-2019,MUMB8,https://tse1.mm.bing.net/th?q=Hotel+Marine+Plaza+Mumbai
999,9,Delhi NCR,Raigarh,10-10-2019,Hotel City Inn,1,Suite,2121,2,1,2,4242,"['Wi-Fi', 'Parking', 'Breakfast']",7,29694,17-10-2019,RAIG9,https://tse1.mm.bing.net/th?q=Hotel+City+Inn+Raigarh
1006,9,Patna,Gangtok,28-11-2019,Hotel Sonam Delek,3,Executive,3917,3,2,3,11751,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",5,58755,03-12-2019,GANG9,https://tse1.mm.bing.net/th?q=Hotel+Sonam+Delek+Gangtok
1007,9,Dabolim,Chennai,05-12-2019,"Trident, Chennai",5,Suite,12808,1,0,1,12808,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",4,51232,09-12-2019,CHEN3,https://tse1.mm.bing.net/th?q=Trident+Chennai
1012,9,Navi Mumbai,Raigarh,09-01-2020,Hotel Trinity Grand,3,Executive,5828,1,2,1,5828,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",5,29140,14-01-2020,RAIG1,https://tse1.mm.bing.net/th?q=Hotel+Trinity+Grand+Raigarh
1014,9,Amritsar,Delhi NCR,23-01-2020,"Red Fox Hotel, Delhi Airport",3,Deluxe,4560,4,0,2,9120,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",4,36480,27-01-2020,DELH9,https://tse1.mm.bing.net/th?q=Red+Fox+Hotel+Delhi+Airport
1016,9,Vadodara,Puducherry,06-02-2020,The Promenade,4,Suite,7947,1,2,1,7947,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",1,7947,07-02-2020,PUDU2,https://tse1.mm.bing.net/th?q=The+Promenade+Puducherry
1018,9,Jamshedpur,Shillong,20-02-2020,The Heritage Club – Tripura Castle,3,Executive,5004,3,2,3,15012,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms', 'Bar']",6,90072,26-02-2020,SHIL3,
1025,9,Dabolim,Bhopal,09-04-2020,Courtyard by Marriott Bhopal,5,Executive,13949,4,0,2,27898,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",5,139490,14-04-2020,BHOP2,https://tse1.mm.bing.net/th?q=Courtyard+by+Marriott+Bhopal  
1034,9,Mopa,Surat,11-06-2020,Hotel Sifat International,3,Executive,5447,3,0,2,10894,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",3,32682,14-06-2020,SURA10,https://tse1.mm.bing.net/th?q=Hotel+Sifat+International+Surat
1035,9,Jaipur,Puri,18-06-2020,The Chariot Resort & Spa,4,Deluxe,5718,2,3,2,11436,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center']",4,45744,22-06-2020,PURI2,https://tse1.mm.bing.net/th?q=The+Chariot+Resort+%26+Spa+Puri
1038,9,Srinagar,Itanagar,09-07-2020,Hotel High East,3,Executive,5569,3,0,2,11138,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle', 'Bar']",7,77966,16-07-2020,ITAN4,https://tse1.mm.bing.net/th?q=Hotel+High+East+Itanagar
1041,9,Prayagraj,Ahmedabad,30-07-2020,Crowne Plaza Ahmedabad City Centre,5,Suite,15058,4,2,3,45174,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",2,90348,01-08-2020,AHME7,https://tse1.mm.bing.net/th?q=Crowne+Plaza+Ahmedabad+City+Centre  
1048,9,Raigarh,Khowai,17-09-2020,Hotel Woodland Park,3,Suite,4592,1,1,1,4592,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",6,27552,23-09-2020,KHOW2,https://tse1.mm.bing.net/th?q=Hotel+Woodland+Park+Khowai
1051,9,Gwalior,Bilaspur,08-10-2020,Hotel Vinayak Palace,2,Suite,3080,1,0,1,3080,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",4,12320,12-10-2020,BILA10,https://tse1.mm.bing.net/th?q=Hotel+Vinayak+Palace+Bilaspur
1052,9,Shimla,Guwahati,15-10-2020,Radisson Blu Hotel Guwahati,5,Suite,15987,2,1,2,31974,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Private Butler', 'Helipad']",5,159870,20-10-2020,GUWA4,https://tse1.mm.bing.net/th?q=Radisson+Blu+Hotel+Guwahati
1053,9,Navi Mumbai,Hyderabad,22-10-2020,Holiday Inn Express Hyderabad Banjara Hills,4,Executive,7422,2,2,2,14844,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",3,44532,25-10-2020,HYDE10,https://tse1.mm.bing.net/th?q=Holiday+Inn+Express+Hyderabad+Banjara+Hills
1055,9,Pune,Visakhapatnam,05-11-2020,Supine Comfort,2,Executive,3266,1,0,1,3266,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",5,16330,10-11-2020,VISA10,https://tse1.mm.bing.net/th?q=Supine+Comfort+Visakhapatnam
1065,9,Dehradun,Pune,14-01-2021,JW Marriott Hotel Pune,5,Executive,13233,2,2,2,26466,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",6,158796,20-01-2021,PUNE1,https://tse1.mm.bing.net/th?q=JW+Marriott+Hotel+Pune+Pune
1067,9,Pune,Itanagar,28-01-2021,Hotel Aanggong,2,Suite,4352,1,0,1,4352,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",7,30464,04-02-2021,ITAN10,https://tse1.mm.bing.net/th?q=Hotel+Aanggong+Itanagar
1077,9,Chennai,Jamshedpur,08-04-2021,Ramada Jamshedpur Bistupur,4,Suite,10172,1,0,1,10172,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",1,10172,09-04-2021,JAMS2,https://tse1.mm.bing.net/th?q=Ramada+Jamshedpur+Bistupur+Jamshedpur
1078,9,Visakhapatnam,Ahmedabad,15-04-2021,Crowne Plaza Ahmedabad City Centre,5,Suite,15058,2,1,2,30116,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler']",6,180696,21-04-2021,AHME7,https://tse1.mm.bing.net/th?q=Crowne+Plaza+Ahmedabad+City+Centre  
1084,9,Raigarh,Puducherry,27-05-2021,Hotel Bon Sejour,3,Suite,7227,2,1,2,14454,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",4,57816,31-05-2021,PUDU10,https://tse1.mm.bing.net/th?q=Hotel+Bon+Sejour+Puducherry
1090,9,Surat,Nashik,08-07-2021,Hotel New Punjab,3,Suite,6057,1,0,1,6057,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",5,30285,13-07-2021,NASH10,https://tse1.mm.bing.net/th?q=Hotel+New+Punjab+Nashik
1091,9,Shimla,Indore,15-07-2021,Hotel Winway,3,Deluxe,3401,2,2,2,6802,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",2,13604,17-07-2021,INDO9,https://tse1.mm.bing.net/th?q=Hotel+Winway+Indore
1093,9,Puri,Bhopal,29-07-2021,Hotel Amer Palace,3,Suite,6603,1,1,1,6603,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",1,6603,30-07-2021,BHOP6,https://tse1.mm.bing.net/th?q=Hotel+Amer+Palace+Bhopal  
1095,9,Shillong,Gwalior,12-08-2021,Clarks Inn Suites Gwalior,4,Suite,8016,2,3,2,16032,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,32064,14-08-2021,GWAL5,https://tse1.mm.bing.net/th?q=Clarks+Inn+Suites+Gwalior
1096,9,Srinagar,Bilaspur,19-08-2021,Hotel Intercity International,3,Suite,6042,2,2,2,12084,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",1,12084,20-08-2021,BILA4,https://tse1.mm.bing.net/th?q=Hotel+Intercity+International+Bilaspur
1101,9,Thiruvananthapuram,Nashik,23-09-2021,Hotel Express Inn,4,Deluxe,5525,1,0,1,5525,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",6,33150,29-09-2021,NASH6,https://tse1.mm.bing.net/th?q=Hotel+Express+Inn+Nashik
1103,9,Thiruvananthapuram,Ludhiana,07-11-2021,Regenta Central Klassik,4,Deluxe,6927,2,0,1,6927,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna']",1,6927,08-11-2021,LUDH4,https://tse1.mm.bing.net/th?q=Regenta+Central+Klassik+Ludhiana
1106,9,Vijayawada,Delhi NCR,28-10-2021,Novotel New Delhi Aerocity,5,Deluxe,10777,3,0,2,21554,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Helipad']",6,129324,03-11-2021,DELH5,https://tse1.mm.bing.net/th?q=Novotel+New+Delhi+Aerocity
1113,10,Ranchi,Patna,03-10-2019,Hotel Republic,3,Suite,6988,4,0,2,13976,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",3,41928,06-10-2019,PATN7,https://tse1.mm.bing.net/th?q=Hotel+Republic+Patna
1119,10,Tirupati,Imphal,15-11-2019,The Classic Hotel,3,Deluxe,3617,1,2,1,3617,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",1,3617,16-11-2019,IMPH3,https://tse1.mm.bing.net/th?q=The+Classic+Hotel+Imphal
1125,10,Ludhiana,Raipur,26-12-2019,Tulip Arena Raipur,3,Executive,4763,1,2,1,4763,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms', 'Bar']",2,9526,28-12-2019,RAIP5,https://tse1.mm.bing.net/th?q=Tulip+Arena+Raipur+Raipur
1133,10,Shillong,Udaipur,20-02-2020,Amrit Mahal,3,Deluxe,3920,3,1,2,7840,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",7,54880,27-02-2020,UDAI8,https://tse1.mm.bing.net/th?q=Amrit+Mahal+Udaipur
1136,10,Ranchi,Indore,12-03-2020,Lemon Tree Hotel Indore,4,Suite,7960,2,0,1,7960,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna', 'Rooftop Lounge']",2,15920,14-03-2020,INDO6,https://tse1.mm.bing.net/th?q=Lemon+Tree+Hotel+Indore
1139,10,Varanasi,Dabolim,02-04-2020,Mariaariose - Melody of the Sea,3,Suite,7420,1,1,1,7420,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",4,29680,06-04-2020,DABO2,https://tse1.mm.bing.net/th?q=Mariaariose+Melody+of+the+Sea+Dabolim
1144,10,Shimla,Vijayawada,07-05-2020,"Lemon Tree Premier, Vijayawada",4,Deluxe,5640,4,2,3,16920,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna']",5,84600,12-05-2020,VIJA1,https://tse1.mm.bing.net/th?q=Lemon+Tree+Premier+Vijayawada+Vijayawada
1150,10,Gwalior,Imphal,18-06-2020,Hotel Imphal,3,Executive,4783,2,0,1,4783,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle', 'Meeting Rooms']",2,9566,20-06-2020,IMPH8,https://tse1.mm.bing.net/th?q=Hotel+Imphal
1151,10,Coimbatore,Raipur,25-06-2020,Hotel VW Canyon,4,Deluxe,7574,3,1,2,15148,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",2,30296,27-06-2020,RAIP10,https://tse1.mm.bing.net/th?q=Hotel+VW+Canyon+Raipur
1157,10,Jamshedpur,Hyderabad,06-08-2020,Holiday Inn Express Hyderabad Banjara Hills,4,Suite,8564,3,0,2,17128,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna']",5,85640,11-08-2020,HYDE10,https://tse1.mm.bing.net/th?q=Holiday+Inn+Express+Hyderabad+Banjara+Hills
1160,10,Vijayawada,Shillong,27-08-2020,Hotel Polo Towers Shillong,4,Executive,7770,3,0,2,15540,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",3,46620,30-08-2020,SHIL2,https://tse1.mm.bing.net/th?q=Hotel+Polo+Towers+Shillong+Shillong
1162,10,Bhopal,Khowai,10-10-2020,Hotel Woodland Park,3,Executive,3979,4,0,2,7958,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",4,31832,14-10-2020,KHOW2,https://tse1.mm.bing.net/th?q=Hotel+Woodland+Park+Khowai
1164,10,Kolkata,Kullu-Manali,24-09-2020,Hotel New Adarsh,2,Deluxe,2942,4,3,4,11768,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",7,82376,01-10-2020,KULL9,https://tse1.mm.bing.net/th?q=Hotel+New+Adarsh+Kullu-Manali
1166,10,Gangtok,Mopa,08-10-2020,Hotel Swarnam,2,Deluxe,3043,2,0,1,3043,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",1,3043,09-10-2020,MOPA4,https://tse1.mm.bing.net/th?q=Hotel+Swarnam+Mopa
1167,10,Visakhapatnam,Ludhiana,15-10-2020,Hotel Maharaja Regency,3,Deluxe,5411,1,2,1,5411,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",6,32466,21-10-2020,LUDH9,https://tse1.mm.bing.net/th?q=Hotel+Maharaja+Regency+Ludhiana
1173,10,Pune,Ludhiana,26-11-2020,Hotel Nirvana,4,Executive,7376,1,0,1,7376,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",6,44256,02-12-2020,LUDH5,https://tse1.mm.bing.net/th?q=Hotel+Nirvana+Ludhiana
1174,10,Gwalior,Chennai,03-12-2020,"Trident, Chennai",5,Executive,11101,3,2,3,33303,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Helipad', 'Limousine Service']",1,33303,04-12-2020,CHEN3,https://tse1.mm.bing.net/th?q=Trident+Chennai
1177,11,Nashik,Ayodhya,03-10-2019,Hotel Ram Nagari,3,Deluxe,3829,2,0,1,3829,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",7,26803,10-10-2019,AYOD6,https://tse1.mm.bing.net/th?q=Hotel+Ram+Nagari+Ayodhya  
1180,11,Mopa,Dehradun,24-10-2019,Paradise Home Stay,3,Suite,4668,4,3,4,18672,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms', 'Bar']",5,93360,29-10-2019,DEHR2,https://tse1.mm.bing.net/th?q=Paradise+Home+Stay+Dehradun
1183,11,Prayagraj,Itanagar,14-11-2019,Hotel High East,3,Executive,5569,1,0,1,5569,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",7,38983,21-11-2019,ITAN4,https://tse1.mm.bing.net/th?q=Hotel+High+East+Itanagar
1184,11,Tirupati,Pune,21-11-2019,Sheraton Grand Pune Bund Garden Hotel,5,Executive,10495,3,0,2,20990,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Private Butler', 'Helipad']",4,83960,25-11-2019,PUNE6,https://tse1.mm.bing.net/th?q=Sheraton+Grand+Pune+Bund+Garden+Hotel+Pune
1188,11,Dhubri,Vijayawada,19-12-2019,Grand Vijayawada by GRT Hotels,4,Suite,9056,1,1,1,9056,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge', 'Business Center']",1,9056,20-12-2019,VIJA5,https://tse1.mm.bing.net/th?q=Grand+Vijayawada+by+GRT+Hotels+Vijayawada
1190,11,Tirupati,Ludhiana,02-01-2020,Park Plaza Ludhiana,4,Executive,6569,2,0,1,6569,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center']",1,6569,03-01-2020,LUDH3,https://tse1.mm.bing.net/th?q=Park+Plaza+Ludhiana+Ludhiana
1192,11,Prayagraj,Shimla,16-01-2020,Hotel Silverine,3,Suite,7454,4,2,3,22362,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",6,134172,22-01-2020,SHIM8,https://tse1.mm.bing.net/th?q=Hotel+Silverine+Shimla
1193,11,Pune,Khowai,24-01-2020,Hotel Shankar,3,Suite,5922,3,3,3,17766,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",3,53298,27-01-2020,KHOW9,https://tse1.mm.bing.net/th?q=Hotel+Shankar+Khowai
1198,11,Raipur,Delhi NCR,28-02-2020,Novotel New Delhi Aerocity,5,Deluxe,10777,2,0,1,10777,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",1,10777,29-02-2020,DELH5,https://tse1.mm.bing.net/th?q=Novotel+New+Delhi+Aerocity
1201,11,Kullu-Manali,Kota,20-03-2020,Hotel Bharat,3,Executive,3920,1,2,1,3920,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",1,3920,21-03-2020,KOTA10,https://tse1.mm.bing.net/th?q=Hotel+Bharat+Kota
1202,11,Ranchi,Diu,26-03-2020,Hotel Palms,3,Deluxe,5144,2,1,2,10288,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",6,61728,01-04-2020,DIU9,https://tse1.mm.bing.net/th?q=Hotel+Palms+Diu
1204,11,Raipur,Pune,09-04-2020,JW Marriott Hotel Pune,5,Deluxe,11197,4,1,3,33591,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Private Butler']",1,33591,10-04-2020,PUNE1,https://tse1.mm.bing.net/th?q=JW+Marriott+Hotel+Pune+Pune
1209,11,Visakhapatnam,Mumbai,14-05-2020,Residency Hotel Fort,3,Suite,6855,4,2,3,20565,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",6,123390,20-05-2020,MUMB9,https://tse1.mm.bing.net/th?q=Residency+Hotel+Fort+Mumbai
